Pair,SL,TP,NY Time,Time,Local Correct,Global Correct,Sum
GBPJPY,1,,,1,,1,1
GBPJPY,1,,,1,,1,1
GBPJPY,,1,,22,1,,1
AUDNZD,1,,,9,,1,1
AUDNZD,1,,,10,,1,1
AUDNZD,1,,,6,,1,1
EURCAD,1,,,21,,,0
XAUUSD,1,,,18,,,0
EURCAD,1,,,3,1,1,2
EURCAD,1,,,2,1,,1
EURCAD,,1,,20,,,0
GBPJPY,1,,,7,,1,1
AUDNZD,,1,,0,1,,1
XAUUSD,1,,,18,1,,1
EURCAD,1,,,9,1,1,2
XAUUSD,1,,,18,,1,1
GBPJPY,,1,,4,,1,1
AUDNZD,1,,,17,,1,1
GBPJPY,,1,,18,1,,1
GBPJPY,,1,,20,1,,1
XAUUSD,,1,,4,,1,1
GBPJPY,1,,,13,1,,1
AUDNZD,1,,,7,,1,1
AUDNZD,1,,,5,,1,1
EURCAD,1,,,1,1,1,2
GBPJPY,1,,,17,1,1,2
GBPJPY,1,,,7,,1,1
GBPJPY,1,,,1,,,0
EURCAD,1,,,4,,,0
GBPJPY,1,,,1,,1,1
EURCAD,1,,,0,,,0
XAUUSD,,1,,0,,1,1
XAUUSD,1,,,23,,1,1
XAUUSD,1,,,6,,1,1
XAUUSD,1,,,22,,1,1
EURCAD,1,,,5,1,1,2
XAUUSD,,1,,19,1,,1
XAUUSD,1,,,0,1,,1
AUDNZD,1,,,17,1,1,2
EURCAD,1,,,7,,,0
AUDNZD,,1,,5,,1,1
XAUUSD,1,,,5,1,,1
XAUUSD,1,,,7,1,1,2
GBPJPY,1,,,1,1,,1
AUDNZD,,1,,14,,,0
EURCAD,1,,,2,,,0
EURCAD,,1,,5,,,0
AUDNZD,,1,,22,1,,1
AUDNZD,1,,,5,,1,1
GBPJPY,,1,,0,1,,1
AUDNZD,1,,,18,,1,1
AUDNZD,1,,,7,1,,1
AUDNZD,,1,,3,1,1,2
EURCAD,,1,,1,,,0
AUDNZD,1,,,7,1,,1
XAUUSD,1,,,23,1,,1
AUDNZD,,1,,19,1,,1
GBPJPY,,1,,5,1,,1
GBPJPY,,,,8,,1,1
AUDNZD,,1,,20,,1,1
XAUUSD,,1,,4,,1,1
EURCAD,,1,,7,,1,1
EURCAD,,1,,2,1,1,2
XAUUSD,1,,,18,,1,1
EURCAD,1,,,6,,1,1
EURCAD,1,,,1,,,0
EURCAD,1,,,11,,,0
XAUUSD,1,,,5,1,,1
XAUUSD,1,,,1,1,1,2
GBPJPY,,1,,3,,1,1
GBPJPY,,1,,5,1,,1
GBPJPY,,1,,20,,1,1
AUDNZD,,1,,17,1,,1
EURCAD,1,,,2,,,0
AUDNZD,,1,,14,,1,1
XAUUSD,,1,,0,1,,1
EURCAD,,1,,4,,,0
EURCAD,,1,,19,1,1,2
GBPJPY,,1,,18,1,,1
EURCAD,,1,,0,,1,1
XAUUSD,1,,,1,,1,1
EURCAD,,1,,10,,,0
GBPJPY,1,,,0,,1,1
GBPJPY,1,,,21,,1,1
AUDNZD,,1,,14,1,,1
GBPJPY,1,,,5,,1,1
GBPJPY,1,,,5,1,,1
XAUUSD,,1,,1,,1,1
GBPJPY,1,,,5,,1,1
EURCAD,,1,,4,1,,1
AUDNZD,1,,,7,,1,1
GBPJPY,,1,,1,1,,1
AUDNZD,,1,,0,,1,1
GBPJPY,1,,,23,1,,1
EURCAD,,1,,7,,,0
GBPJPY,1,,,12,1,,1
EURCAD,,1,,6,,,0
XAUUSD,,1,,23,1,1,2
XAUUSD,,1,,22,1,1,2
XAUUSD,,1,,23,,1,1
XAUUSD,1,,,19,1,1,2
XAUUSD,1,,,2,,1,1
GBPJPY,,1,,0,,1,1
AUDNZD,1,,,2,,1,1
EURCAD,1,,,1,1,,1
XAUUSD,,1,,6,,,0
XAUUSD,1,,,5,1,,1
GBPJPY,1,,,23,,1,1
AUDNZD,1,,,2,,1,1
EURCAD,1,,,3,1,,1
EURCAD,,1,,3,,,0
GBPJPY,,1,,23,,1,1
AUDNZD,1,,,6,,1,1
AUDNZD,1,,,6,1,,1
AUDNZD,1,,,5,1,,1
EURCAD,1,,,7,,1,1
AUDNZD,1,,,6,,1,1
XAUUSD,1,,,5,,,0
AUDNZD,1,,,16,,1,1
GBPJPY,1,,,21,,1,1
AUDNZD,1,,,0,,1,1
AUDNZD,,1,,21,1,,1
XAUUSD,,1,,6,,,0
EURCAD,1,,,6,,1,1
XAUUSD,1,,,23,,1,1
EURCAD,1,,,5,,1,1
EURCAD,1,,,21,,,0
XAUUSD,1,,,11,1,,1
XAUUSD,1,,,5,,1,1
GBPJPY,,1,,14,1,1,2
GBPJPY,,1,,23,,,0
GBPJPY,1,,,22,1,,1
AUDNZD,1,,,17,1,1,2
AUDNZD,1,,,15,,1,1
AUDNZD,1,,,12,1,,1
EURCAD,,1,,22,,1,1
XAUUSD,1,,,15,,1,1
EURCAD,1,,,12,,,0
AUDNZD,,1,,22,1,,1
EURCAD,1,,,0,,1,1
GBPJPY,,1,,4,1,1,2
AUDNZD,,1,,21,1,1,2
XAUUSD,1,,,23,,1,1
EURCAD,1,,,19,,1,1
XAUUSD,1,,,0,1,1,2
GBPJPY,1,,,23,,1,1
AUDNZD,,1,,20,1,,1
GBPJPY,1,,,6,,,0
GBPJPY,1,,,19,,,0
XAUUSD,1,,,18,,1,1
GBPJPY,1,,,1,1,1,2
AUDNZD,,1,,18,1,,1
AUDNZD,,1,,1,,1,1
EURCAD,1,,,8,,,0
XAUUSD,1,,,5,,,0
GBPJPY,1,,,0,,1,1
GBPJPY,1,,,11,,1,1
EURCAD,,1,,17,1,,1
GBPJPY,1,,,2,1,1,2
EURCAD,,1,,4,,1,1
XAUUSD,1,,,13,,,0
XAUUSD,1,,,12,,,0
XAUUSD,1,,,3,,,0
XAUUSD,1,,,11,,1,1
EURCAD,1,,,7,,1,1
XAUUSD,1,,,5,,1,1
XAUUSD,,1,,2,1,1,2
GBPJPY,1,,,22,,1,1
EURCAD,1,,,19,,1,1
AUDNZD,,1,,11,,1,1
XAUUSD,1,,,21,1,,1
XAUUSD,1,,,7,,1,1
GBPJPY,1,,,11,,1,1
GBPJPY,1,,,5,,1,1
EURCAD,1,,,0,,,0
EURCAD,1,,,0,,,0
AUDNZD,,1,,5,1,,1
AUDNZD,,1,,15,,1,1
GBPJPY,1,,,5,,1,1
AUDNZD,,1,,18,1,,1
GBPJPY,1,,,7,,1,1
GBPJPY,1,,,22,,1,1
EURCAD,,1,,8,1,,1
AUDNZD,,1,,13,,1,1
XAUUSD,,1,,18,,1,1
AUDNZD,,1,,7,,,0
GBPJPY,1,,,23,,,0
GBPJPY,1,,,5,,1,1
AUDNZD,1,,,19,1,1,2
XAUUSD,,1,,9,,1,1
EURCAD,1,,,0,,1,1
EURCAD,,1,,5,1,,1
XAUUSD,1,,,5,,,0
EURCAD,1,,,19,,,0
EURCAD,1,,,3,,1,1
EURCAD,,1,,4,,,0
XAUUSD,1,,,11,,1,1
XAUUSD,1,,,23,1,,1
EURCAD,1,,,8,,1,1
EURCAD,,1,17,14,1,1,2
EURCAD,1,,5,2,,,0
EURCAD,1,,7,4,,,0
AUDNZD,,1,17,14,1,,1
EURCAD,1,,3,0,1,1,2
AUDNZD,,1,5,2,,1,1
XAUUSD,,1,23,20,1,1,2
GBPJPY,1,,9,6,,,0
EURCAD,1,,11,8,,,0
EURCAD,1,,8,5,1,1,2
XAUUSD,1,,9,6,1,1,2
EURCAD,,1,9,6,1,1,2
GBPJPY,1,,23,20,,1,1
EURCAD,1,,2,23,,,0
EURCAD,1,,2,23,,,0
XAUUSD,,1,0,21,,,0
EURCAD,1,,2,23,,,0
XAUUSD,1,,13,10,,,0
GBPJPY,1,,4,1,,1,1
GBPJPY,,1,20,17,1,,1
XAUUSD,,1,5,2,1,1,2
AUDNZD,1,,22,19,,1,1
EURCAD,1,,8,5,1,1,2
XAUUSD,1,,4,1,1,1,2
GBPJPY,,1,23,20,,1,1
AUDNZD,1,,12,9,1,1,2
AUDNZD,,1,8,5,,1,1
GBPJPY,1,,17,14,1,,1
AUDNZD,,1,17,14,,1,1
GBPJPY,,,8,5,,1,1
GBPJPY,1,,2,23,,,0
XAUUSD,,1,1,22,1,1,2
EURCAD,,1,10,7,1,1,2
AUDNZD,,1,15,12,1,,1
GBPJPY,,1,0,21,,1,1
AUDNZD,1,,3,0,,1,1
GBPJPY,1,,2,23,,,0
XAUUSD,1,,1,22,,,0
XAUUSD,,1,8,5,,,0
GBPJPY,,1,22,19,,,0
EURCAD,,1,3,0,,,0
GBPJPY,,1,5,2,1,1,2
EURCAD,1,,13,10,,,0
GBPJPY,,1,21,18,1,,1
GBPJPY,1,,3,0,,1,1
AUDNZD,,1,10,7,,,0
EURCAD,,1,22,19,,,0
GBPJPY,1,,1,22,,1,1
GBPJPY,1,,10,7,,,0
EURCAD,,1,3,0,1,1,2
AUDNZD,1,,17,14,,1,1
XAUUSD,1,,4,1,1,1,2
GBPJPY,,1,3,0,1,1,2
GBPJPY,,1,3,0,,,0
EURCAD,1,,3,0,,,0
XAUUSD,,1,8,5,1,1,2
GBPJPY,1,,5,2,,,0
AUDNZD,1,,16,13,1,,1
AUDNZD,1,,8,5,,,0
GBPJPY,1,,4,1,,1,1
GBPJPY,,1,3,0,,1,1
AUDNZD,,1,7,4,1,1,2
XAUUSD,,1,8,5,,,0
GBPJPY,1,,11,8,,1,1
EURCAD,1,,23,20,,,0
AUDNZD,1,,5,2,1,1,2
AUDNZD,,1,21,18,,,0
GBPJPY,1,,2,23,,,0
AUDNZD,,1,17,14,1,1,2
GBPJPY,,1,6,3,1,1,2
EURCAD,1,,8,5,,,0
EURCAD,,1,15,12,1,1,2
AUDNZD,,1,9,6,1,1,2
XAUUSD,1,,10,7,1,,1
EURCAD,1,,9,6,,1,1
GBPJPY,1,,1,22,,1,1
EURCAD,1,,10,7,,1,1
GBPJPY,1,,15,12,,,0
XAUUSD,1,,8,5,,1,1
EURCAD,1,,6,3,,,0
AUDNZD,,1,8,5,,,0
GBPJPY,1,,5,2,,,0
EURCAD,1,,5,2,,1,1
AUDNZD,,1,3,0,,,0
GBPJPY,,1,4,1,,,0
EURCAD,1,,9,6,,,0
AUDNZD,1,,3,0,1,1,2
AUDNZD,,1,17,14,,,0
EURCAD,1,,5,2,1,1,2
XAUUSD,,1,21,18,,,0
EURCAD,1,,7,4,,,0
GBPJPY,1,,15,12,1,1,2
EURCAD,,1,4,1,1,1,2
XAUUSD,1,,0,21,1,1,2
GBPJPY,,1,20,17,1,,1
AUDNZD,1,,8,5,1,1,2
EURCAD,1,,4,1,,1,1
XAUUSD,,1,8,5,,1,1
AUDNZD,1,,20,17,,,0
EURCAD,,1,2,23,,,0
EURCAD,1,,3,0,,,0
AUDNZD,1,,16,13,,,0
XAUUSD,1,,3,0,,,0
AUDNZD,1,,16,13,1,1,2
XAUUSD,1,,4,1,,1,1
XAUUSD,1,,10,7,,1,1
XAUUSD,1,,22,19,,1,1
XAUUSD,1,,1,22,,,0
GBPJPY,1,,4,1,1,1,2
GBPJPY,,1,10,7,,1,1
AUDNZD,1,,8,5,,,0
GBPJPY,1,,3,0,,,0
EURCAD,1,,3,0,,1,1
EURCAD,,1,6,3,1,,1
XAUUSD,1,,4,1,,1,1
XAUUSD,1,,3,0,,1,1
GBPJPY,,1,6,3,1,1,2
EURCAD,1,,3,0,1,,1
XAUUSD,1,,3,0,1,,1
GBPJPY,1,,6,3,,1,1
EURCAD,1,,3,0,1,,1
AUDNZD,,1,5,2,,1,1
GBPJPY,,1,0,0,1,1,2
AUDNZD,,1,6,3,1,1,2
EURCAD,,1,8,5,1,,1
GBPJPY,1,,9,6,,,0
GBPJPY,1,,7,4,,1,1
EURCAD,,1,6,3,,1,1
XAUUSD,,1,14,11,,1,1
AUDNZD,1,,7,4,,,0
EURCAD,1,,8,5,,1,1
EURCAD,,1,5,2,1,,1
AUDNZD,1,,10,7,,1,1
EURCAD,1,,3,0,1,1,2
GBPJPY,,1,8,5,,,0
XAUUSD,,1,8,5,,1,1
AUDNZD,,1,7,4,,,0
GBPJPY,1,,4,1,,,0
AUDNZD,,1,6,3,1,,1
GBPJPY,1,,12,9,1,,1
XAUUSD,1,,22,19,1,,1
AUDNZD,1,,10,7,1,1,2
GBPJPY,,1,10,7,,,0
XAUUSD,1,,10,7,,1,1
AUDNZD,1,,14,11,,,0
GBPJPY,,1,20,17,,,0
XAUUSD,,1,11,8,1,,1
EURCAD,1,,10,7,,1,1
AUDNZD,,1,21,18,,1,1
EURCAD,1,,10,7,,1,1
GBPJPY,,1,12,9,,,0
GBPJPY,1,,9,6,,,0
EURCAD,1,,10,7,,1,1
AUDNZD,1,,18,15,,,0
XAUUSD,1,,12,9,,1,1
EURCAD,1,,9,6,,1,1
AUDNZD,1,,13,10,,,0
GBPJPY,,1,18,15,1,1,2
AUDNZD,,1,14,11,1,1,2
XAUUSD,,1,22,19,1,,1
GBPJPY,1,,23,20,1,1,2
GBPJPY,1,,21,18,,,0
AUDNZD,,1,14,11,,,0
EURCAD,1,,0,21,,1,1
XAUUSD,1,,21,18,1,,1
AUDNZD,,1,21,18,,,0
EURCAD,1,,22,19,1,1,2
AUDNZD,,1,14,11,1,1,2
EURCAD,,1,22,19,,1,1
GBPJPY,,1,20,17,,1,1
XAUUSD,1,,21,18,,1,1
GBPJPY,1,,1,22,,1,1
XAUUSD,,1,2,23,1,,1
XAUUSD,1,,2,23,,1,1
XAUUSD,1,,2,23,,1,1
XAUUSD,,1,2,23,1,,1
XAUUSD,,1,2,23,1,,1
GBPJPY,,1,2,23,1,,1
GBPJPY,1,,2,23,,,0
XAUUSD,,1,22,19,,1,1
XAUUSD,,1,21,18,,1,1
GBPJPY,1,,3,0,,,0
XAUUSD,1,,2,23,,1,1
XAUUSD,1,,9,6,1,,1
GBPJPY,1,,3,0,,,0
XAUUSD,,1,8,5,,1,1
XAUUSD,1,,21,18,1,,1
XAUUSD,1,,10,7,,,0
XAUUSD,1,,8,5,,1,1
XAUUSD,1,,2,23,,,0
XAUUSD,1,,10,7,,1,1
GBPJPY,1,,9,6,1,1,2
GBPJPY,1,,4,1,1,1,2
GBPJPY,1,,10,7,,,0
GBPJPY,1,,2,23,1,1,2
GBPJPY,1,,5,2,,,0
AUDNZD,1,,10,7,,,0
GBPJPY,1,,4,1,1,1,2
GBPJPY,1,,6,3,1,1,2
XAUUSD,1,,6,3,,,0
AUDNZD,1,,17,14,,,0
XAUUSD,,1,8,5,1,,1
GBPJPY,1,,22,19,,,0
GBPJPY,1,,14,11,,,0
GBPJPY,1,,10,7,,,0
XAUUSD,,1,11,8,1,,1
GBPJPY,1,,20,17,1,1,2
AUDNZD,1,,11,8,,,0
EURCAD,,1,10,7,,,0
AUDNZD,1,,8,5,,1,1
AUDNZD,,1,21,18,1,,1
AUDNZD,1,,15,12,1,,1
EURCAD,1,,8,5,1,,1
EURCAD,1,,10,7,1,1,2
AUDNZD,,1,10,7,,,0
AUDNZD,1,,21,18,,,0
EURCAD,,1,4,1,1,1,2
AUDNZD,,1,4,1,,,0
AUDNZD,,1,18,15,,,0
AUDNZD,1,,3,0,,1,1
AUDNZD,1,,21,18,,,0
EURCAD,1,,8,5,1,,1
AUDNZD,1,,22,19,1,1,2
AUDNZD,1,,10,7,,1,1
AUDNZD,1,,18,15,,,0
EURCAD,1,,9,6,,1,1
EURCAD,1,,7,4,,1,1
EURCAD,1,,9,6,,,0
EURCAD,1,,11,8,,,0
EURCAD,,1,6,3,1,1,2
EURCAD,1,,13,10,,,0
EURCAD,,1,6,3,1,1,2
EURCAD,1,,10,7,1,1,2
EURCAD,,1,21,18,,,0
XAUUSD,1,,4,1,,,0
XAUUSD,,1,8,5,,,0
XAUUSD,1,,7,4,,,0
XAUUSD,,1,8,5,1,1,2
XAUUSD,,1,4,1,,,0
XAUUSD,1,,6,3,,,0
XAUUSD,1,,9,6,,,0
XAUUSD,,1,4,1,,,0
XAUUSD,1,,10,7,,,0
XAUUSD,,1,8,5,,,0
XAUUSD,1,,3,0,1,1,2
XAUUSD,1,,8,5,1,1,2
GBPJPY,1,,4,1,,1,1
GBPJPY,1,,7,4,,,0
GBPJPY,,1,21,18,1,,1
AUDNZD,1,,6,3,1,1,2
GBPJPY,1,,8,5,,,0
AUDNZD,1,,10,7,,,0
GBPJPY,1,,3,0,,,0
GBPJPY,1,,6,3,1,,1
XAUUSD,1,,19,16,,1,1
AUDNZD,1,,3,0,1,1,2
XAUUSD,1,,2,23,,,0
GBPJPY,1,,8,5,,1,1
GBPJPY,1,,3,0,,1,1
GBPJPY,1,,9,6,,1,1
XAUUSD,,1,2,23,1,1,2
GBPJPY,,1,3,0,1,,1
AUDNZD,,1,17,14,,,0
EURCAD,1,,5,2,,1,1
AUDNZD,1,,11,8,,,0
AUDNZD,1,,17,14,,1,1
AUDNZD,1,,22,19,1,1,2
EURCAD,1,,3,0,,1,1
EURCAD,1,,6,3,,1,1
AUDNZD,1,,12,9,,,0
AUDNZD,,1,17,14,1,,1
EURCAD,,1,5,2,,1,1
AUDNZD,1,,0,21,1,1,2
AUDNZD,1,,13,10,,,0
AUDNZD,1,,19,16,1,1,2
AUDNZD,1,,10,7,,,0
EURCAD,1,,5,2,,1,1
EURCAD,,1,3,0,1,,1
AUDNZD,1,,14,11,,,0
AUDNZD,,1,15,12,,1,1
EURCAD,1,,9,6,,1,1
EURCAD,1,,2,23,1,,1
EURCAD,1,,11,8,,1,1
EURCAD,1,,15,12,,1,1
EURCAD,1,,8,5,,1,1
EURCAD,1,,23,20,1,,1
XAUUSD,,1,3,0,,1,1
XAUUSD,1,,4,1,,1,1
XAUUSD,1,,7,4,1,,1
XAUUSD,1,,7,4,,1,1
XAUUSD,1,,8,5,,,0
XAUUSD,,1,8,5,,1,1
XAUUSD,1,,8,5,1,,1
XAUUSD,1,,10,7,,,0
XAUUSD,1,,12,9,1,,1
XAUUSD,1,,14,11,,1,1
XAUUSD,1,,21,18,1,1,2
XAUUSD,1,,21,18,,,0
GBPJPY,1,,3,0,1,,1
GBPJPY,1,,3,0,,1,1
GBPJPY,1,,3,0,,1,1
GBPJPY,1,,3,0,,1,1
GBPJPY,1,,5,2,,1,1
GBPJPY,,1,5,2,,1,1
GBPJPY,1,,9,6,1,,1
GBPJPY,1,,10,7,,1,1
GBPJPY,,1,18,15,,1,1
GBPJPY,,1,20,17,1,,1
GBPJPY,1,,21,18,1,,1
GBPJPY,,1,21,18,1,,1
GBPJPY,1,,22,19,1,,1
GBPJPY,1,,22,19,,1,1
GBPJPY,,1,2,23,1,,1
GBPJPY,1,,2,23,1,,1
AUDNZD,1,,3,0,,1,1
AUDNZD,1,,3,0,,,0
AUDNZD,,1,4,1,,,0
AUDNZD,1,,5,2,,1,1
AUDNZD,,1,5,2,1,,1
AUDNZD,1,,6,3,,,0
AUDNZD,1,,6,3,,,0
AUDNZD,1,,10,7,,,0
AUDNZD,1,,10,7,,1,1
AUDNZD,1,,10,7,,,0
AUDNZD,,1,14,11,1,1,2
AUDNZD,,1,15,12,1,1,2
AUDNZD,,1,16,13,1,,1
AUDNZD,,1,17,14,1,1,2
AUDNZD,1,,17,14,,,0
AUDNZD,1,,21,18,,,0
AUDNZD,,1,23,20,,1,1
AUDNZD,,1,1,23,1,,1
EURCAD,,1,3,0,,,0
EURCAD,,1,3,0,,,0
EURCAD,1,,8,5,,1,1
EURCAD,1,,8,5,,1,1
EURCAD,,1,9,6,,,0
EURCAD,1,,9,6,,,0
EURCAD,,1,9,6,,1,1
EURCAD,,1,10,7,1,1,2
EURCAD,,1,12,9,,,0
EURCAD,1,,23,20,,1,1
EURCAD,1,,22,19,,,0
EURCAD,1,,2,23,1,,1
EURCAD,1,,2,23,,,0
EURCAD,1,,2,23,,1,1