rules,support,confidence,coverage,lift,count,count/data,Total,total cases/data, Optimal Risk  ,Accuracy,SL,TP, Return 
{Local Correct=1},0.170642202,0.4844,0.352293578,1.360744201,93,0.1703,192,0.3516,$600.00 ,0.4844,99,93,"$80,100.00 "
{},0.355963303,0.356,1,1,194,0.3553,545,0.9982,$400.00 ,0.356,351,194,"$53,600.00 "
"{Local Correct=1,Global Correct=0}",0.097247706,0.5196,0.187155963,1.459723064,53,0.0971,102,0.1868,$600.00 ,0.5196,49,53,"$50,100.00 "
"{Pair=AUDNZD,Local Correct=1,Global Correct=0}",0.034862385,0.7308,0.047706422,2.052934179,19,0.0348,26,0.0476,"$1,200.00 ",0.7308,7,19,"$48,600.00 "
"{Pair=AUDNZD,Local Correct=1}",0.055045872,0.5769,0.095412844,1.62073751,30,0.0549,52,0.0952,$800.00 ,0.5769,22,30,"$42,400.00 "
{Global Correct=0},0.190825688,0.3925,0.486238532,1.102509239,104,0.1905,265,0.4853,$400.00 ,0.3925,161,104,"$39,600.00 "
{Pair=AUDNZD},0.110091743,0.4412,0.249541284,1.239387508,60,0.1099,136,0.2491,$500.00 ,0.4412,76,60,"$37,000.00 "
"{Pair=AUDNZD,Global Correct=0}",0.062385321,0.5,0.124770642,1.404639175,34,0.0623,68,0.1245,$600.00 ,0.5,34,34,"$30,600.00 "
{Time=14},0.022018349,0.7059,0.031192661,1.983020012,12,0.022,17,0.0311,"$1,100.00 ",0.7059,5,12,"$27,500.00 "
"{Local Correct=1,Global Correct=1}",0.073394495,0.4444,0.165137615,1.248568156,40,0.0733,90,0.1648,$500.00 ,0.4444,50,40,"$25,000.00 "
"{Pair=AUDNZD,Time=14}",0.018348624,0.7143,0.025688073,2.006627393,10,0.0183,14,0.0256,"$1,100.00 ",0.7143,4,10,"$23,100.00 "
"{Pair=GBPJPY,Local Correct=1}",0.04587156,0.4902,0.093577982,1.377097231,25,0.0458,51,0.0934,$600.00 ,0.4902,26,25,"$21,900.00 "
"{Pair=GBPJPY,Local Correct=1,Global Correct=0}",0.031192661,0.5484,0.056880734,1.540571999,17,0.0311,31,0.0568,$700.00 ,0.5484,14,17,"$19,950.00 "
"{Pair=EURCAD,Local Correct=1}",0.036697248,0.4762,0.07706422,1.337751595,20,0.0366,42,0.0769,$600.00 ,0.4762,22,20,"$16,800.00 "
"{Time=18,Global Correct=0}",0.022018349,0.5455,0.040366972,1.532333646,12,0.022,22,0.0403,$700.00 ,0.5455,10,12,"$14,000.00 "
{Time=18},0.027522936,0.4839,0.056880734,1.359328234,15,0.0275,31,0.0568,$600.00 ,0.4839,16,15,"$12,900.00 "
"{Pair=EURCAD,Local Correct=1,Global Correct=1}",0.022018349,0.5,0.044036697,1.404639175,12,0.022,24,0.044,$600.00 ,0.5,12,12,"$10,800.00 "
{Global Correct=1},0.165137615,0.3214,0.513761468,0.902982327,90,0.1648,280,0.5128,$300.00 ,0.3214,190,90,"$10,500.00 "
"{Pair=AUDNZD,Global Correct=1}",0.047706422,0.3824,0.124770642,1.07413584,26,0.0476,68,0.1245,$400.00 ,0.3824,42,26,"$9,200.00 "
{Time=4},0.018348624,0.5,0.036697248,1.404639175,10,0.0183,20,0.0366,$600.00 ,0.5,10,10,"$9,000.00 "
"{Pair=AUDNZD,Local Correct=0}",0.055045872,0.3571,0.15412844,1.003313697,30,0.0549,84,0.1538,$400.00 ,0.3571,54,30,"$8,400.00 "
"{Pair=EURCAD,Global Correct=0}",0.047706422,0.3714,0.128440367,1.043446244,26,0.0476,70,0.1282,$400.00 ,0.3714,44,26,"$8,400.00 "
"{Time=5,Global Correct=0}",0.023853211,0.4483,0.053211009,1.259331674,13,0.0238,29,0.0531,$500.00 ,0.4483,16,13,"$8,250.00 "
"{Pair=GBPJPY,Global Correct=0}",0.04587156,0.3731,0.12293578,1.04823819,25,0.0458,67,0.1227,$400.00 ,0.3731,42,25,"$8,200.00 "
"{Pair=XAUUSD,Time=5}",0.020183486,0.4583,0.044036697,1.287585911,11,0.0201,24,0.044,$500.00 ,0.4583,13,11,"$7,250.00 "
{Pair=EURCAD},0.08440367,0.3333,0.253211009,0.936426117,46,0.0842,138,0.2527,$300.00 ,0.3333,92,46,"$6,900.00 "
{Time=3},0.020183486,0.44,0.04587156,1.236082474,11,0.0201,25,0.0458,$500.00 ,0.44,14,11,"$6,750.00 "
{Pair=XAUUSD},0.078899083,0.3333,0.236697248,0.936426117,43,0.0788,129,0.2363,$300.00 ,0.3333,86,43,"$6,450.00 "
"{Pair=XAUUSD,Local Correct=1}",0.033027523,0.383,0.086238532,1.075893836,18,0.033,47,0.0861,$400.00 ,0.383,29,18,"$6,400.00 "
"{Pair=AUDNZD,Local Correct=1,Global Correct=1}",0.020183486,0.4231,0.047706422,1.188540841,11,0.0201,26,0.0476,$500.00 ,0.4231,15,11,"$6,250.00 "
"{Pair=XAUUSD,Global Correct=1}",0.044036697,0.3478,0.126605505,0.977140296,24,0.044,69,0.1264,$400.00 ,0.3478,45,24,"$6,000.00 "
"{Local Correct=0,Global Correct=0}",0.093577982,0.3129,0.299082569,0.878976662,51,0.0934,163,0.2985,$300.00 ,0.3129,112,51,"$4,650.00 "
{Pair=GBPJPY},0.082568807,0.3169,0.260550459,0.890264266,45,0.0824,142,0.2601,$300.00 ,0.3169,97,45,"$4,650.00 "
"{Pair=EURCAD,Local Correct=0,Global Correct=0}",0.033027523,0.3462,0.095412844,0.972442506,18,0.033,52,0.0952,$400.00 ,0.3462,34,18,"$4,400.00 "
"{Pair=AUDNZD,Local Correct=0,Global Correct=0}",0.027522936,0.3571,0.07706422,1.003313697,15,0.0275,42,0.0769,$400.00 ,0.3571,27,15,"$4,200.00 "
"{Pair=AUDNZD,Local Correct=0,Global Correct=1}",0.027522936,0.3571,0.07706422,1.003313697,15,0.0275,42,0.0769,$400.00 ,0.3571,27,15,"$4,200.00 "
{Time=0},0.034862385,0.3333,0.104587156,0.936426117,19,0.0348,57,0.1044,$400.00 ,0.3333,38,19,"$3,800.00 "
{Time=5},0.03853211,0.3443,0.111926606,0.967128613,21,0.0385,61,0.1117,$300.00 ,0.3443,40,21,"$3,750.00 "
"{Time=0,Global Correct=0}",0.018348624,0.3846,0.047706422,1.080491673,10,0.0183,26,0.0476,$400.00 ,0.3846,16,10,"$3,600.00 "
{Time=2},0.018348624,0.3571,0.051376147,1.003313697,10,0.0183,28,0.0513,$400.00 ,0.3571,18,10,"$2,800.00 "
"{Pair=XAUUSD,Global Correct=0}",0.034862385,0.3167,0.110091743,0.889604811,19,0.0348,60,0.1099,$300.00 ,0.3167,41,19,"$1,950.00 "
"{Pair=XAUUSD,Local Correct=0}",0.04587156,0.3049,0.150458716,0.856487302,25,0.0458,82,0.1502,$300.00 ,0.3049,57,25,"$1,650.00 "
"{Time=5,Local Correct=0}",0.023853211,0.325,0.073394495,0.913015464,13,0.0238,40,0.0733,$300.00 ,0.325,27,13,"$1,650.00 "
"{Pair=XAUUSD,Local Correct=0,Global Correct=1}",0.027522936,0.3061,0.089908257,0.859983169,15,0.0275,49,0.0897,$300.00 ,0.3061,34,15,"$1,050.00 "
{Time=23},0.022018349,0.3077,0.071559633,0.864393339,12,0.022,39,0.0714,$300.00 ,0.3077,27,12,$900.00 
{Time=1},0.020183486,0.3056,0.066055046,0.858390607,11,0.0201,36,0.0659,$300.00 ,0.3056,25,11,$750.00 
"{Pair=XAUUSD,Local Correct=0,Global Correct=0}",0.018348624,0.303,0.060550459,0.85129647,10,0.0183,33,0.0604,$300.00 ,0.303,23,10,$600.00 
